Year,RoundNumber,QualyPos,GridPosition,RacePos,Points,Laps,Q1_seconds,Q2_seconds,Q3_seconds,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,driver_avg_points_last_3,driver_avg_finish_pos_last_3,driver_avg_qualy_pos_last_3,driver_championship_points_before_race,driver_total_dnfs_season
2024,7,18,18,12,0.0,62.0,76.854,999.0,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,16.0,18.0,892.0,22
2024,7,19,20,19,0.0,62.0,76.917,999.0,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.666666666666667,7.333333333333333,7.666666666666667,631.0,14
2024,7,20,19,17,0.0,62.0,999.0,999.0,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,18.0,18.666666666666668,1447.0,31
2024,8,1,1,1,25.0,78.0,71.584,70.825,70.27,0,0,1,0,0,0,0,0,0,0,1,1,1,14.0,3.3333333333333335,4.0,357.0,10
2024,8,2,2,2,18.0,78.0,71.5,70.756,70.424,0,0,0,0,0,1,0,0,0,0,1,0,1,5.333333333333333,8.333333333333334,4.333333333333333,1925.0,36
2024,8,3,3,3,15.0,78.0,71.543,71.075,70.518,0,0,1,0,0,0,0,0,0,0,1,0,1,10.0,5.0,5.0,97.0,7
2024,8,4,4,4,12.0,78.0,71.76,70.732,70.542,0,0,0,0,0,1,0,0,0,0,1,0,0,20.333333333333332,1.6666666666666667,4.0,1027.0,28
2024,8,5,5,5,10.0,78.0,71.492,70.929,70.543,0,0,0,0,0,0,1,0,0,0,1,0,0,6.333333333333333,7.0,7.0,714.0,18
2024,8,6,6,6,8.0,78.0,71.711,70.745,70.567,0,0,0,0,0,0,0,0,1,0,1,0,0,22.666666666666668,1.3333333333333333,1.0,1592.0,33
2024,8,7,7,7,7.0,78.0,71.528,71.056,70.621,0,0,0,0,0,0,1,0,0,0,1,0,0,6.0,7.0,11.333333333333334,1276.0,29
2024,8,8,8,8,4.0,77.0,71.852,71.106,70.858,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3333333333333335,12.0,12.0,2327.0,46
2024,8,9,9,9,2.0,77.0,71.623,71.216,70.948,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,16.666666666666668,14.0,0.0,2
2024,8,10,10,10,1.0,77.0,71.714,70.896,71.311,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,13.666666666666666,14.0,2141.0,37
2024,8,11,11,17,0.0,0.0,71.887,71.285,999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,11.666666666666666,12.666666666666666,576.0,13
2024,8,12,12,12,0.0,76.0,71.785,71.482,999.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,15.333333333333334,13.0,568.0,13
2024,8,13,13,14,0.0,76.0,71.728,71.563,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6666666666666666,13.666666666666666,11.666666666666666,916.0,25
2024,8,14,14,11,0.0,76.0,72.019,999.0,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,11.666666666666666,12.333333333333334,631.0,14
2024,8,14,19,19,0.0,0.0,71.876,71.44,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,10.666666666666666,9.333333333333334,1842.0,33
2024,8,15,20,20,0.0,0.0,71.832,71.725,999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,15.666666666666666,18.0,892.0,22
2024,8,15,15,15,0.0,76.0,72.02,999.0,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,18.0,19.0,1447.0,31
2024,8,16,16,18,0.0,0.0,72.06,999.0,999.0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.333333333333334,5.0,5.666666666666667,2270.0,40
2024,8,17,17,13,0.0,76.0,72.512,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,18.0,14.0,2313.0,45
2024,8,18,18,16,0.0,76.0,73.028,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,14.333333333333334,17.666666666666668,887.0,21
2024,9,1,1,3,15.0,70.0,73.013,71.742,72.0,0,0,0,0,0,0,1,0,0,0,1,0,1,7.0,6.666666666666667,6.0,724.0,18
